log_id,true_label,true_signed_distance
0,-1,-0.425606594910
1,1,0.441369802129
2,-1,-0.001801509396
3,-1,-0.217096539457
4,1,0.010397261813
5,-1,-0.652568824591
6,1,0.095221183209
7,1,0.227986947740
8,-1,-0.127180645347
9,-1,-0.358310525048
10,1,0.041826520977
11,1,0.197832317630
12,1,0.127569478267
13,1,0.488592164675
14,-1,-0.006520875453
15,1,0.015113657355
16,-1,-0.157888320129
17,1,0.357892147609
18,-1,-0.593684139088
19,1,0.580355042685
20,-1,-0.128793322681
21,-1,-0.359840183573
22,1,0.136690984523
23,1,0.492518682295
24,1,0.024243562363
25,1,0.034509926517
26,-1,-0.157846624225
27,-1,-0.181120972521
28,-1,-0.024322653815
29,1,0.130894426186
30,1,0.098877276071
31,-1,-0.366937995201
32,1,0.236357038648
33,-1,-0.377993380916
34,1,0.041524675861
35,-1,-0.161419330352
36,-1,-0.113472610624
37,-1,-0.452151997094
38,-1,-0.366399038008
39,-1,-0.133674043000
40,1,0.239310678393
41,1,0.339690378182
42,-1,-0.431180673429
43,-1,-0.176700721295
44,-1,-0.286120390334
45,-1,-0.033382394245
46,1,0.374270890510
47,1,0.230465678792
48,1,0.083288958810
49,1,0.097439213122
50,1,0.263327513822
51,1,0.169370413321
52,1,0.538761304725
53,-1,-0.151449991018
54,1,0.587078047809
55,-1,-0.187571086460
56,1,0.042195793107
57,-1,-0.322072062779
58,-1,-0.028484930806
59,1,0.009611694529
60,-1,-0.126708866033
61,1,0.145319929351
62,1,0.026557236270
63,1,0.314249005060
64,1,0.346409067022
65,-1,-0.124138399699
66,-1,-0.322458333436
67,-1,-0.166001564511
68,1,0.052527480723
69,1,0.148132257078
70,-1,-0.098044644767
71,1,0.119234210023
72,1,0.156884068022
73,-1,-0.194016987908
74,-1,-0.467565003463
75,1,0.077154708872
76,1,0.194852665953
77,-1,-0.108204372463
78,-1,-0.312100771100
79,-1,-0.528955903997
80,-1,-0.270838901461
81,1,0.014190225378
82,1,0.094399894164
83,-1,-0.332310458782
84,-1,-0.147904550069
85,-1,-0.447240487226
86,-1,-0.137590802734
87,1,0.575590597570
88,-1,-0.047341831808
89,1,0.291661360012
90,-1,-0.181968988815
91,-1,-0.193874389693
92,-1,-0.031474675452
93,1,0.063552797285
94,-1,-0.345196412773
95,-1,-0.193571734869
96,-1,-0.070502943004
97,-1,-0.197280340677
98,-1,-0.532810755386
99,-1,-0.015784867386
100,-1,-0.615784538444
101,-1,-0.324926155031
102,1,0.056905504183
103,1,0.063502628249
104,1,0.677507325190
105,1,0.397352789723
106,1,0.349162421739
107,1,0.122676257387
108,1,0.074241323656
109,1,0.254210359983
110,1,0.399774052702
111,1,0.329710263247
112,1,0.282737334854
113,-1,-0.313272089009
114,1,0.163544569091
115,-1,-0.353424853062
116,1,0.348821172832
117,1,0.087927919222
118,1,0.444679361723
119,1,0.022225195682
120,1,0.175884259791
121,1,0.107097937311
122,-1,-0.002235083745
123,-1,-0.258614347584
124,-1,-0.092624056888
125,-1,-0.063970608804
126,-1,-0.298143324025
127,-1,-0.275353252004
128,1,0.150795972433
129,1,0.153159046690
130,-1,-0.164750205736
131,-1,-0.050669419558
132,1,0.017712996982
133,1,0.125517438899
134,1,0.101193967798
135,1,0.027972890344
136,1,0.307337337485
137,-1,-0.019222243256
138,-1,-0.033863976879
139,1,0.079149702231
140,1,0.105420501622
141,1,0.166719818344
142,-1,-0.262652882211
143,-1,-0.384829867869
144,1,0.240535651899
145,1,0.484077885340
146,-1,-0.352494564830
147,-1,-0.073270704643
148,1,0.164358606054
149,-1,-0.072243660967
150,-1,-0.378566099859
151,-1,-0.317473239133
152,-1,-0.049392656586
153,1,0.241520677669
154,1,0.418544722258
155,1,0.170509603822
156,-1,-0.242051848176
157,1,0.256260544121
158,-1,-0.281166665473
159,-1,-0.520666414848
160,-1,-0.403908414507
161,1,0.161896964849
162,1,0.295549200910
163,1,0.451857578747
164,1,0.438770321411
165,1,0.488262684739
166,-1,-0.309703428151
167,1,0.484686888770
168,-1,-0.121904505753
169,1,0.598973222344
170,-1,-0.176146933524
171,1,0.328344247739
172,-1,-0.274194132280
173,1,0.612854377097
174,1,0.463790904836
175,1,0.236021771596
176,-1,-0.262712784181
177,1,0.292443961589
178,-1,-0.118763063541
179,-1,-0.192923713822
180,-1,-0.080921150320
181,-1,-0.264321120710
182,1,0.028254437024
183,1,0.425121698934
184,1,0.416546914494
185,1,0.004810623656
186,1,0.130672672229
187,-1,-0.192088896520
188,-1,-0.631184793164
189,1,0.075534277370
190,1,0.172328249399
191,1,0.433354175893
192,-1,-0.173968916699
193,1,0.259256012487
194,-1,-0.016728909418
195,-1,-0.483079636742
196,1,0.180245087432
197,-1,-0.471239374488
198,1,0.011734493029
199,-1,-0.330128794647
200,-1,-0.214464581185
201,1,0.027355617698
202,-1,-0.046683101505
203,1,0.148276212852
204,1,0.040263146019
205,-1,-0.081566414194
206,-1,-0.035055740851
