x1,x2
0.106792881252,0.740992251800
0.147071793933,0.740399024380
0.211126990614,0.716838732993
0.247387960959,0.634274795545
0.268545497614,0.597168799811
0.367078317142,0.605101702126
0.370451179086,0.564893527812
0.431222614029,0.506683211271
0.461169814006,0.503527761015
0.530967130853,0.464282581733
0.567972169538,0.416336904459
0.589377353332,0.372271925360
0.648361287354,0.387088569055
0.707568668372,0.310290456944
0.779493270543,0.279442711607
0.800005661879,0.254356552789
0.842482814543,0.232358465334
0.912658500548,0.191094158684
